Наименование^Смеситель для ванны Ledeme H13 L2113,Категория^smesiteli,Артикул^L2113,Коллекция^H13,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2113/smesitel-ledeme-h13-l21131.jpg,./images/smesiteli//L2113/smesitel-dlya-vanny-ledeme-l2113030.jpg"
Наименование^Смеситель для ванны Ledeme H16 L2116,Категория^smesiteli,Артикул^L2116,Коллекция^H16,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2116/smesitel-ledeme-h16-l21161.jpg,./images/smesiteli//L2116/smesitel-dlya-vanny-ledeme-l2116030.jpg"
Наименование^Смеситель для ванны Ledeme H15 L2115,Категория^smesiteli,Артикул^L2115,Коллекция^H15,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2115/smesitel-ledeme-h15-l21151.jpg,./images/smesiteli//L2115/smesitel-dlya-vanny-ledeme-l2115030.jpg"
Наименование^Смеситель для кухни с выдвижной лейкой Ledeme H13 L6013,Категория^smesiteli,Артикул^L6013,Коллекция^H13,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,"Функции излива^Выдвижной, Поворотный",Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L6013/smesitel-dlya-kukhni-ledeme-l6013020.jpg,./images/smesiteli//L6013/smesitel-dlya-kukhni-ledeme-l6013030.jpg"
Наименование^Смеситель для раковины Ledeme H42 L1042,Категория^smesiteli,Артикул^L1042,Коллекция^H42,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1042/smesitel-ledeme-h42-l104211.jpg,./images/smesiteli//L1042/smesitel-ledeme-h42-l1042_foto-11.jpg,./images/smesiteli//L1042/smesitel-ledeme-h42-l1042_foto-21.jpg,./images/smesiteli//L1042/smesitel-ledeme-h42-l1042_foto-31.jpg,./images/smesiteli//L1042/smesitel-ledeme-h42-l1042_foto-41.jpg,./images/smesiteli//L1042/smesitel-ledeme-h42-l1042_foto-51.jpg,./images/smesiteli//L1042/smesitel-ledeme-h42-l1042_foto-61.jpg,./images/smesiteli//L1042/smesitel-ledeme-h42-l1042_foto-71.jpg,./images/smesiteli//L1042/smesitel-ledeme-h42-l1042_foto-81.jpg,./images/smesiteli//L1042/smesitel-dlya-rakoviny-ledeme-l1042030.jpg"
Наименование^Смеситель для кухни Ledeme H4698 L4698B,Категория^smesiteli,Артикул^L4698B,Коллекция^H4698,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Черные,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b020.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0011.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0031.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0021.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0041.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0051.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0061.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0071.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0091.jpg,./images/smesiteli//L4698B/smesitel-dlya-kukhni-ledeme-l4698b0301.jpg"
Наименование^Смеситель для ванны Ledeme H26 L2726,Категория^smesiteli,Артикул^L2726,Коллекция^H26,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2726/smesitel-ledeme-h26-l27261.jpg,./images/smesiteli//L2726/smesitel-dlya-vanny-ledeme-l2726030.jpg"
Наименование^Смеситель для ванны Ledeme H19 L2719,Категория^smesiteli,Артикул^L2719,Коллекция^H19,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2719/smesitel-ledeme-h19-l27191.jpg,./images/smesiteli//L2719/smesitel-dlya-vanny-ledeme-l2719030.jpg"
Наименование^Смеситель для биде Ledeme H01 L5001,Категория^smesiteli,Артикул^L5001,Коллекция^H01,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для биде,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L5001/smesitel-ledeme-h01-l50011.jpg,./images/smesiteli//L5001/smesitel-dlya-bide-ledeme-l5001030.jpg"
Наименование^Смеситель для ванны Ledeme H14 L2114,Категория^smesiteli,Артикул^L2114,Коллекция^H14,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2114/smesitel-ledeme-h14-l21141.jpg,./images/smesiteli//L2114/smesitel-dlya-vanny-ledeme-l2114030.jpg"
Наименование^Смеситель для ванны Ledeme H19 L3019,Категория^smesiteli,Артикул^L3019,Коллекция^H19,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Ретро,Цвет^Хром,Форма излива^Нижний,Функции излива^Стационарный,Размер излива^Короткий,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L3019/smesitel-ledeme-h19-l30191.jpg,./images/smesiteli//L3019/smesitel-dlya-vanny-ledeme-l3019030.jpg"
Наименование^Смеситель для ванны Ledeme H36 L2136,Категория^smesiteli,Артикул^L2136,Коллекция^H36,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2136/smesitel-ledeme-h36-l21361.jpg,./images/smesiteli//L2136/smesitel-dlya-vanny-ledeme-l2136030.jpg"
Наименование^Смеситель для раковины Ledeme H11 L1011,Категория^smesiteli,Артикул^L1011,Коллекция^H11,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1011/smesitel-ledeme-h11-l10111.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110011.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110021.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110031.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110041.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110051.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110061.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110071.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l1011030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-8,Категория^smesiteli,Артикул^L4153-8,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-8/smesitel-dlya-kukhni-ledeme-l4153-8020.jpg,./images/smesiteli//L4153-8/smesitel-dlya-kukhni-ledeme-l4153-8030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-7,Категория^smesiteli,Артикул^L4153-7,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Оранжевые",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-7/smesitel-dlya-kukhni-ledeme-l4153-7020.jpg,./images/smesiteli//L4153-7/smesitel-dlya-kukhni-ledeme-l4153-7030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-6,Категория^smesiteli,Артикул^L4153-6,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-6/smesitel-dlya-kukhni-ledeme-l4153-6020.jpg,./images/smesiteli//L4153-6/smesitel-dlya-kukhni-ledeme-l4153-6030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-5,Категория^smesiteli,Артикул^L4153-5,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Зеленые",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-5/smesitel-dlya-kukhni-ledeme-l4153-5020.jpg,./images/smesiteli//L4153-5/smesitel-dlya-kukhni-ledeme-l4153-5030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-4,Категория^smesiteli,Артикул^L4153-4,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-4/smesitel-dlya-kukhni-ledeme-l4153-4020.jpg,./images/smesiteli//L4153-4/smesitel-dlya-kukhni-ledeme-l4153-4030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-3,Категория^smesiteli,Артикул^L4153-3,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Белый/хром, Белые",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-3/smesitel-dlya-kukhni-ledeme-l4153-3020.jpg,./images/smesiteli//L4153-3/smesitel-dlya-kukhni-ledeme-l4153-3030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-2,Категория^smesiteli,Артикул^L4153-2,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Черные",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-2/smesitel-dlya-kukhni-ledeme-l4153-2020.jpg,./images/smesiteli//L4153-2/smesitel-dlya-kukhni-ledeme-l4153-2030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-1,Категория^smesiteli,Артикул^L4153-1,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Красные",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-1/smesitel-dlya-kukhni-ledeme-l4153-1020.jpg,./images/smesiteli//L4153-1/smesitel-dlya-kukhni-ledeme-l4153-1030.jpg"
Наименование^Смеситель для раковины Ledeme H33 L71133,Категория^smesiteli,Артикул^L71133,Коллекция^H33,Размеры (см.)^21x29.2 см/ вынос излива 13.2 см,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Форма смесителя^Квадратные,Стиль^Современные,Цвет^Сатин,Высота излива^Средний,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Нержавеющая сталь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133003.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133004.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133005.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133006.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133007.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133008.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133009.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133010.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133011.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133020.jpg"
Наименование^Смеситель для ванны Ledeme H12 L2712,Категория^smesiteli,Артикул^L2712,Коллекция^H12,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2712/smesitel-ledeme-h12-l27121.jpg,./images/smesiteli//L2712/smesitel-dlya-vanny-ledeme-l2712030.jpg"
Наименование^Смеситель Ledeme H03W L2003W,Категория^smesiteli,Артикул^L2003W,Коллекция^H03W,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для душа,Управление^Однорычажные,Стиль^Современные,"Цвет^Хром, Белый/хром, Белые",Форма излива^Без излива,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w020.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w001.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w030.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w0021.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w0031.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w0041.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w0051.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w0061.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w007.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w008.jpg,./images/smesiteli//L2003W/smesitel-dlya-dusha-ledeme-l2003w009.jpg"
Наименование^Смеситель для раковины Ledeme H52 L1052-2 Хром,Категория^smesiteli,Артикул^L1052-2,Коллекция^H52,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1052-2/smesitel-dlya-rakoviny-ledeme-l1052-2-khrom020.jpg,./images/smesiteli//L1052-2/smesitel-dlya-rakoviny-ledeme-l1052-2-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H01 L4201,Категория^smesiteli,Артикул^L4201,Коллекция^H01,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4201/smesitel-ledeme-h01-l42011.jpg,./images/smesiteli//L4201/smesitel-ledeme-h01-l4201-v-interere1.jpg,./images/smesiteli//L4201/smesitel-dlya-kukhni-ledeme-l4201030.jpg"
Наименование^Смеситель для кухни Ledeme H25 L4225,Категория^smesiteli,Артикул^L4225,Коллекция^H25,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4225/smesitel-ledeme-h25-l42251.jpg,./images/smesiteli//L4225/smesitel-dlya-kukhni-ledeme-l4225030.jpg"
Наименование^Смеситель для раковины Ledeme H84 L1084-2,Категория^smesiteli,Артикул^L1084-2,Коллекция^H84,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Двухвентильные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1084-2/smesitel-ledeme-h84-l1084-211.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20011.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20021.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20031.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20041.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20051.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20061.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20071.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20081.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20091.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-20101.jpg,./images/smesiteli//L1084-2/smesitel-dlya-rakoviny-ledeme-l1084-2030.jpg"
Наименование^Смеситель для кухни Ledeme  L1055-4 Хром,Категория^smesiteli,Артикул^L1055-4,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Средний,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,images_path^./images/smesiteli//L1055-4/smesitel-ledeme-l1055-41.jpg
Наименование^Смеситель для кухни Ledeme  L4398 Хром,Категория^smesiteli,Артикул^L4398,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4398/smesitel-ledeme-l43981.jpg,./images/smesiteli//L4398/smesitel-dlya-kukhni-ledeme-l4398-khrom030.jpg"
